Season,Name,Team,Rebound,Assist,Point
2000-2001,Cesar Arranz,EST,7,1,6
2000-2001,Luis Munoz,EST,2,4,2
2000-2001,Juan Carlos Navarro,FCB,34,34,152
2000-2001,Arturas Karnisovas,FCB,50,13,139
2000-2001,Sarunas Jasikevicius,FCB,21,50,126
2000-2001,Pau Gasol,FCB,36,4,111
2000-2001,Efthimios Rentzias,FCB,53,5,97
2000-2001,Francisco Elson,FCB,70,7,91
2000-2001,Roberto Duenas,FCB,62,6,89
2000-2001,Alain Digbeu,FCB,28,8,65
2000-2001,Rodrigo De La Fuente,FCB,34,10,57
2000-2001,Rony Seikaly,FCB,21,4,52
2000-2001,Nacho Rodriguez,FCB,8,15,25
2000-2001,Zoran Savic,FCB,8,1,19
2000-2001,Xavier Puyada,FCB,0,0,0
2000-2001,Juan Antonio Jobacho,FCB,0,0,0
2000-2001,Cesar Bravo,FCB,1,0,0
2000-2001,Tyron McCoy,FRA,41,37,153
2000-2001,Gerrit Terdenge,FRA,45,14,115
2000-2001,Derrick Taylor,FRA,18,21,96
2000-2001,James Shields,FRA,35,11,66
2000-2001,Robin Grey,FRA,22,5,60
2000-2001,Robert Maras,FRA,52,6,54
2000-2001,Walter Palmer,FRA,13,1,35
2000-2001,Niklas Lutcke,FRA,15,12,34
2000-2001,Pascal Roller,FRA,8,8,29
2000-2001,Ruslan Boidakov,FRA,6,0,16
2000-2001,Kai-Joachim Nurnberger,FRA,6,4,16
2000-2001,Dominik Hennen,FRA,5,1,12
2000-2001,Aleksandar Simic,FRA,2,1,6
2000-2001,Ingmar Janke,FRA,0,0,4
2000-2001,Tim Sanks,FRA,2,1,0
2000-2001,Kebu Stewart,HAPJ,74,2,157
2000-2001,Tony Dorsey,HAPJ,35,12,118
2000-2001,James Blackwell,HAPJ,18,33,108
2000-2001,Puppy Turgeman,HAPJ,31,18,84
2000-2001,Kevin Rankin,HAPJ,28,1,62
2000-2001,Meir Tapiro,HAPJ,17,11,49
2000-2001,Peleg Barak,HAPJ,26,9,46
2000-2001,Amit Tamir,HAPJ,17,2,40
2000-2001,Constantin Popa,HAPJ,23,1,36
2000-2001,Kenny Williams,HAPJ,19,3,31
2000-2001,Erez Katz,HAPJ,6,4,28
2000-2001,Haywoode Workman,HAPJ,4,8,25
2000-2001,Kendrick Warren,LT,69,7,161
2000-2001,Steve Bucknall,LT,25,19,142
2000-2001,Eric Taylor,LT,39,14,113
2000-2001,Randy Duck,LT,10,19,82
2000-2001,Tom Wideman,LT,65,9,72
2000-2001,Perry Carter,LT,54,2,62
2000-2001,Jerry Hester,LT,10,9,42
2000-2001,Martin Henlan,LT,33,1,33
2000-2001,Eric Burks,LT,4,4,31
2000-2001,Peter Van Elswyk,LT,12,2,16
2000-2001,Ronnie Baker,LT,5,2,12
2000-2001,Wayne Henry,LT,7,1,9
2000-2001,Neville Austin,LT,0,0,0
2000-2001,Martin Lattibeaudiere,LT,1,0,0
2000-2001,Jameil Rich,LUG,29,27,215
2000-2001,Lee Matthews,LUG,63,3,151
2000-2001,Dusan Stevic,LUG,47,0,97
2000-2001,Harold Mrazek,LUG,20,14,94
2000-2001,Dejan Jovanovski,LUG,21,7,85
2000-2001,Spencer Dunkley,LUG,39,2,40
2000-2001,Norbert Valis,LUG,18,7,33
2000-2001,Michael Polite,LUG,20,0,28
2000-2001,Jonathan Edwards,LUG,10,1,14
2000-2001,Patrick Koller,LUG,6,6,9
2000-2001,Manuel Raga,LUG,7,3,6
2000-2001,Marco Sassella,LUG,4,1,5
2000-2001,Sani Becirovic,OLI,58,53,310
2000-2001,Emilio Kovacic,OLI,115,11,181
2000-2001,Primoz Brezec,OLI,70,5,124
2000-2001,Mindaugas Zukauskas,OLI,33,14,112
2000-2001,Petar Arsic,OLI,44,8,97
2000-2001,Beno Udrih,OLI,29,28,93
2000-2001,Jurica Golemac,OLI,43,11,82
2000-2001,Jiri Welsch,OLI,17,8,77
2000-2001,Slavko Kotnik,OLI,38,2,45
2000-2001,Walsh Jordan,OLI,12,19,43
2000-2001,Stipe Modric,OLI,24,3,27
2000-2001,David Evans,OLI,3,3,11
2000-2001,Dino Radja,OLY,123,11,179
2000-2001,Stephane Risacher,OLY,37,12,166
2000-2001,Nikolaos Ekonomou,OLY,37,21,158
2000-2001,Dusan Vukcevic,OLY,12,13,147
2000-2001,Dimitris Papanikolaou,OLY,48,15,142
2000-2001,Milan Tomic,OLY,30,30,116
2000-2001,David Rivers,OLY,24,23,102
2000-2001,Patrick Femerling,OLY,28,2,31
2000-2001,Nikolaos Bountouris,OLY,5,10,27
2000-2001,Vassilios Soulis,OLY,22,3,22
2000-2001,Inaki De Miguel,OLY,24,2,22
2000-2001,Kris Hill,OVA,76,15,172
2000-2001,Thomas Adams,OVA,47,16,118
2000-2001,Joffre Lleal,OVA,23,21,115
2000-2001,Tim Kennedy,OVA,22,10,85
2000-2001,David Berbois,OVA,13,14,60
2000-2001,Mustafa Sahin,OVA,23,3,46
2000-2001,Nuno Manarte,OVA,21,21,45
2000-2001,Zoran Viskovic,OVA,12,0,32
2000-2001,Nicolas Fernandez,OVA,13,1,31
2000-2001,Daniel Becker,OVA,4,0,16
2000-2001,Jovan Manovic,OVA,1,5,9
2000-2001,Jorge Sing,OVA,5,3,8
2000-2001,Jaime Silva,OVA,0,3,5
2000-2001,Lashun McDaniels,OVA,0,0,4
2000-2001,Panagiotis Liadelis,PAOK,35,19,295
2000-2001,Georgios Sigalas,PAOK,44,32,139
2000-2001,Evangelos Koronios,PAOK,22,32,120
2000-2001,Yannis Giannoulis,PAOK,69,14,113
2000-2001,Jorge Oscar Racca,PAOK,16,5,105
2000-2001,Valeri Daineko,PAOK,37,1,74
2000-2001,Claudio Coldebella,PAOK,40,32,71
2000-2001,Joseph Blair,PAOK,69,3,66
2000-2001,Pep Cargol,PAOK,27,5,46
2000-2001,Frederic Weis,PAOK,23,4,28
2000-2001,Anthony Avent,PAOK,12,4,8
2000-2001,Giorgios Limniatis,PAOK,5,4,2
2000-2001,Kostas Vasiliadis,PAOK,1,0,0
2000-2001,Alphonso Ford,PER,49,32,312
2000-2001,Byron Dinkins,PER,44,43,135
2000-2001,Kostas Tsartsaris,PER,68,21,122
2000-2001,Alexei Savrasenko,PER,78,7,116
2000-2001,Fabio Ribeiro,PER,65,11,85
2000-2001,Michalis Pelekanos,PER,29,4,69
2000-2001,Michael Andersen,PER,37,2,60
2000-2001,Manolis Papamakarios,PER,9,5,54
2000-2001,Alexis Papadatos,PER,12,6,33
2000-2001,John Brugos,PER,0,0,2
2000-2001,Ioannis Kritikos,PER,2,0,0
2000-2001,Robert Reisenbuchler,PER,2,1,0
2000-2001,Erik Meek,RMB,83,4,173
2000-2001,Alberto Herreros,RMB,41,19,172
2000-2001,Eric Struelens,RMB,95,20,141
2000-2001,Marko Milic,RMB,69,29,140
2000-2001,Sasa Djordjevic,RMB,18,20,137
2000-2001,Raul Lopez,RMB,26,43,109
2000-2001,Alberto Angulo,RMB,30,10,99
2000-2001,George Zidek,RMB,35,5,95
2000-2001,Lucio Angulo,RMB,27,10,94
2000-2001,Iker Iturbe,RMB,35,9,63
2000-2001,Roberto Nunez,RMB,12,4,28
2000-2001,Ariel Eslava,RMB,2,1,1
2000-2001,Mike Batiste,SPI,92,4,161
2000-2001,Jerome John,SPI,54,3,130
2000-2001,Ron Ellis,SPI,96,15,128
2000-2001,Wouter De Wilde,SPI,18,2,92
2000-2001,Lenny Brown,SPI,13,13,87
2000-2001,Jacques Stas,SPI,10,11,63
2000-2001,David Desy,SPI,10,12,62
2000-2001,Erik Cleymans,SPI,12,4,41
2000-2001,Bernard Thiry,SPI,3,0,4
2000-2001,Stephen Tison,SPI,0,0,1
2000-2001,Julien Defosse,SPI,0,0,0
2000-2001,Emmanuel Manpuya,SPI,0,0,0
2000-2001,Gregory Crucifix,SPI,0,0,0
2000-2001,Serguei Bazarevitch,SPL,17,28,112
2000-2001,Eubeney Kissourine,SPL,48,8,79
2000-2001,Stjepan Stazic,SPL,24,14,76
2000-2001,Dzevad Alihodzic,SPL,43,6,72
2000-2001,Steve Edwards,SPL,19,19,67
2000-2001,Keith Jennings,SPL,16,9,51
2000-2001,Marijan Kraljevic,SPL,24,6,45
2000-2001,Andrey Maltsev,SPL,11,2,37
2000-2001,Marko Verginella,SPL,8,1,11
2000-2001,Bojan Brkic,SPL,2,2,10
2000-2001,Miljan Veskovic,SPL,0,0,0
2000-2001,Petar Naumoski,TREV,36,37,217
2000-2001,Marcus Brown,TREV,29,27,187
2000-2001,Jorge Garbajosa,TREV,71,12,176
2000-2001,Marcelo Nicola,TREV,60,29,175
2000-2001,Riccardo Pittis,TREV,58,49,116
2000-2001,Alan Tomidy,TREV,59,5,86
2000-2001,Denis Marconato,TREV,35,6,56
2000-2001,Massimo Bulleri,TREV,12,8,56
2000-2001,Bostjan Nachbar,TREV,23,9,52
2000-2001,Peter Lisicky,TREV,7,3,27
2000-2001,Ismael Santos,TREV,14,5,24
2000-2001,Luca Sottana,TREV,0,0,5
2000-2001,Louis Bullock,VER,28,35,242
2000-2001,Henry Williams,VER,22,25,182
2000-2001,Marty Conlon,VER,72,19,159
2000-2001,Corey Albano,VER,63,15,134
2000-2001,Casey Schmidt,VER,49,16,114
2000-2001,Andrea Camata,VER,77,6,89
2000-2001,Mauro Sartori,VER,26,6,86
2000-2001,Rodolfo Rombaldoni,VER,18,19,48
2000-2001,David Arigbabu,VER,31,6,36
2000-2001,Giampaolo Zamberlan,VER,3,0,3
2000-2001,Giorgio Boscagin,VER,0,0,3
2000-2001,Patrick Baldwin,ZAD,32,21,165
2000-2001,Darko Krunic,ZAD,14,26,141
2000-2001,Ivica Maric,ZAD,29,59,117
2000-2001,Davor Pejcinovic,ZAD,79,18,115
2000-2001,Jurica Ruzic,ZAD,41,2,112
2000-2001,Richard Mandeville,ZAD,33,3,71
2000-2001,Tomislav Ruzic,ZAD,30,4,43
2000-2001,Toni Dijan,ZAD,11,4,40
2000-2001,Hrvoje Perincic,ZAD,12,3,33
2000-2001,Tomislav Knezevic,ZAD,0,0,3
2000-2001,Sime Spralja,ZAD,2,0,0
2000-2001,Donatas Slanina,ZAL,40,12,174
2000-2001,Grygorgii Khizhniak,ZAL,86,10,145
2000-2001,Andrius Jurkunas,ZAL,44,13,145
2000-2001,Steve Woodberry,ZAL,58,34,143
2000-2001,Kestutis Marciulionis,ZAL,23,30,133
2000-2001,John White,ZAL,20,16,71
2000-2001,Tomas Masiulis,ZAL,41,10,64
2000-2001,Dainius Salenga,ZAL,14,7,44
2000-2001,Martynas Andriukaitis,ZAL,16,1,41
2000-2001,Arturas Masiulis,ZAL,11,0,15
2000-2001,Giedrius Gustas,ZAL,3,2,12
2000-2001,Nerijus Karlikanovas,ZAL,4,2,10
2000-2001,Vidas Ginevicius,ZAL,2,1,0
2001-2002,J.R. Holden,ATH,25,39,220
2001-2002,Dimos Dikoudis,ATH,69,11,171
2001-2002,Mihalis Kakiouzis,ATH,96,10,162
2001-2002,Andrew Betts,ATH,70,7,115
2001-2002,Nikos Chatzis,ATH,21,10,86
2001-2002,Chris Carr,ATH,14,15,59
2001-2002,Nikos Zisis,ATH,11,11,55
2001-2002,Arijan Komazec,ATH,5,2,47
2001-2002,Jim Bilba,ATH,38,8,38
2001-2002,Spyridon Panteliadis,ATH,4,4,23
2001-2002,Vassilis Kikilas,ATH,15,5,15
2001-2002,Christos Tapoutos,ATH,4,0,12
2001-2002,Pero Antic,ATH,5,1,4
2001-2002,Kostas Pachalis,ATH,4,0,0
2001-2002,Wendell Alexis,BER,19,3,98
2001-2002,Derrick Phelps,BER,15,18,60
2001-2002,Dejan Koturovic,BER,34,4,56
2001-2002,Marko Pesic,BER,10,11,43
2001-2002,Jorg Lutcke,BER,14,7,40
2001-2002,Stefano Garris,BER,16,3,39
2001-2002,Teoman Ozturk,BER,14,2,30
2001-2002,George Zidek,BER,7,0,23
2001-2002,Henrik Rodl,BER,7,3,19
2001-2002,Sven Schultze,BER,6,1,14
2001-2002,Tommy Thorwarth,BER,7,2,10
2001-2002,Mithat Demirel,BER,3,7,9
2001-2002,Stipo Papic,BER,1,0,0
2001-2002,Manu Ginobili,BOL,54,41,208
2001-2002,Gregor Fucka,BOL,85,17,194
2001-2002,Matjaz Smodis,BOL,75,4,183
2001-2002,Marko Jaric,BOL,66,35,181
2001-2002,Antoine Rigaudeau,BOL,32,22,124
2001-2002,David Andersen,BOL,51,5,119
2001-2002,Gianluca Basile,BOL,21,22,113
2001-2002,Andrea Meneghin,BOL,23,23,108
2001-2002,Zoran Savic,BOL,31,10,95
2001-2002,Marko Milic,BOL,36,16,94
2001-2002,Davor Marcelic,BOL,46,9,93
2001-2002,Emilio Kovacic,BOL,53,10,83
2001-2002,Rashard Griffith,BOL,73,13,81
2001-2002,Alessandro Frosini,BOL,54,2,76
2001-2002,Sani Becirovic,BOL,27,21,75
2001-2002,Giacomo Galanda,BOL,30,7,73
2001-2002,Anthony Goldwire,BOL,18,16,59
2001-2002,Alessandro Abbio,BOL,19,6,58
2001-2002,Vassil Evtimov,BOL,24,4,37
2001-2002,Claudio Pilutti,BOL,4,3,16
2001-2002,David Brkic,BOL,8,1,16
2001-2002,Antonio Granger,BOL,3,0,10
2001-2002,Davide Bonora,BOL,5,3,9
2001-2002,Rumeal Robinson,BOL,1,3,7
2001-2002,Stefano Mancinelli,BOL,1,0,5
2001-2002,John Celestand,BOL,4,4,5
2001-2002,Paolo Barlera,BOL,2,0,4
2001-2002,Matteo Pecchia,BOL,0,0,2
2001-2002,Carlo Ferri,BOL,0,0,0
2001-2002,Aleksander Milosserdov,BOL,1,1,0
2001-2002,Igor Rakocevic,BUD,6,14,95
2001-2002,Vladimir Kuzmanovic,BUD,13,11,69
2001-2002,Nikola Jestratijevic,BUD,21,0,53
2001-2002,Dragan Vukcevic,BUD,4,4,43
2001-2002,Dejan Radonjic,BUD,5,8,40
2001-2002,Zarko Cabarkapa,BUD,15,2,39
2001-2002,Blagota Sekulic,BUD,10,0,28
2001-2002,Aleksandar Smiljanic,BUD,4,2,23
2001-2002,Balsa Radunovic,BUD,8,4,16
2001-2002,Aleksandar Okunskyy,BUD,6,2,13
2001-2002,Davor Pejcinovic,BUD,5,0,11
2001-2002,Dragan Ceranic,BUD,10,0,10
2001-2002,Dejan Milojevic,BUD,12,0,10
2001-2002,Bojan Bakic,BUD,5,2,9
2001-2002,Goran Cakic,BUD,6,0,9
2001-2002,Petar Arsic,BUD,5,1,8
2001-2002,Sasha Pavlovic,BUD,0,0,0
2001-2002,Dejan Tomasevic,CAJ,95,25,186
2001-2002,Luis Scola,CAJ,46,16,165
2001-2002,Elmer Bennett,CAJ,27,55,125
2001-2002,Laurent Foirest,CAJ,33,22,122
2001-2002,Andres Nocioni,CAJ,50,12,113
2001-2002,Fabricio Oberto,CAJ,71,17,99
2001-2002,Hugo Ariel Sconochini,CAJ,21,11,57
2001-2002,Chris Corchiani,CAJ,10,20,44
2001-2002,Sergi Vidal,CAJ,12,15,39
2001-2002,Carlos Arroyo,CAJ,3,7,29
2001-2002,Gabriel Fernandez,CAJ,7,1,27
2001-2002,Mindaugas Timinskas,CAJ,8,6,23
2001-2002,Christos Harissis,CAJ,0,0,6
2001-2002,Eduardo Hernandez,CAJ,1,1,0
2001-2002,Marijan Mance,CIB,14,6,63
2001-2002,Calvin Bowman,CIB,26,3,60
2001-2002,Reggie Freeman,CIB,19,5,52
2001-2002,Nikola Prkacin,CIB,28,16,51
2001-2002,Josip Sesar,CIB,2,11,51
2001-2002,Dino Radja,CIB,21,4,31
2001-2002,Zoran Planinic,CIB,5,5,25
2001-2002,Darko Krunic,CIB,6,5,25
2001-2002,Matej Mamic,CIB,17,11,24
2001-2002,Barisa Krasic,CIB,3,1,22
2001-2002,Branimir Longin,CIB,15,3,22
2001-2002,Davor Kus,CIB,5,10,21
2001-2002,Aleksandar Okunskyy,CIB,11,1,19
2001-2002,Boris Dzidic,CIB,6,0,7
2001-2002,Gordan Giricek,CSKA,39,14,273
2001-2002,Curtis McCants,CSKA,19,38,136
2001-2002,Mirsad Turkcan,CSKA,101,15,133
2001-2002,Zakhar Pashutin,CSKA,36,24,94
2001-2002,Ruben Wolkowyski,CSKA,53,5,81
2001-2002,Dmitri Domani,CSKA,37,17,74
2001-2002,Alexandre Petrenko,CSKA,29,5,52
2001-2002,Nikita Morgunov,CSKA,16,3,23
2001-2002,Raimonds Miglieniks,CSKA,7,8,11
2001-2002,Roy Rogers Jr,CSKA,4,0,4
2001-2002,Nikolai Alexeev,CSKA,6,2,4
2001-2002,Josko Poljak,CSKA,2,0,4
2001-2002,Andrei Fetisov,CSKA,0,0,0
2001-2002,Kaspars Kambala,EFE,66,6,209
2001-2002,Marcus Brown,EFE,33,44,195
2001-2002,Mehmet Okur,EFE,86,14,175
2001-2002,Saulius Stombergas,EFE,34,11,138
2001-2002,Omer Onan,EFE,14,7,123
2001-2002,Kerem Tunceri,EFE,17,32,51
2001-2002,Arda Vekiloglu,EFE,26,1,39
2001-2002,Ender Arslan,EFE,6,6,20
2001-2002,Kaya Peker,EFE,34,5,18
2001-2002,Alper Yilmaz,EFE,17,7,18
2001-2002,Enver Enis Ekmen,EFE,0,0,0
2001-2002,Ademola Olulaja,FCB,72,15,144
2001-2002,Sarunas Jasikevicius,FCB,20,33,112
2001-2002,Efthimios Rentzias,FCB,52,5,112
2001-2002,Arturas Karnisovas,FCB,41,13,111
2001-2002,Alain Digbeu,FCB,32,16,98
2001-2002,Roberto Duenas,FCB,66,5,91
2001-2002,Juan Carlos Navarro,FCB,11,12,79
2001-2002,Nacho Rodriguez,FCB,32,31,73
2001-2002,Rodrigo De La Fuente,FCB,17,10,68
2001-2002,Anderson Varejao,FCB,36,2,40
2001-2002,Nikolaos Ekonomou,FCB,10,3,22
2001-2002,Doug Overton,FCB,3,3,17
2001-2002,Alfonso Alzamora,FCB,10,0,15
2001-2002,Remon Van de Hare,FCB,0,0,4
2001-2002,Jordi Grimau,FCB,0,0,0
2001-2002,Hakki Harun Erdenay,FEN,13,20,142
2001-2002,Miljan Goljovic,FEN,27,8,134
2001-2002,Quadre Lollis,FEN,83,22,114
2001-2002,Asim Pars,FEN,39,15,106
2001-2002,Haluk Yildirim,FEN,17,37,93
2001-2002,Bud Eley,FEN,47,2,76
2001-2002,Tutku Acik,FEN,10,21,61
2001-2002,Roberts Stelmahers,FEN,20,19,57
2001-2002,Kerem Gonlum,FEN,32,8,52
2001-2002,Zaza Pachulia,FEN,15,2,33
2001-2002,Mustafa Abi,FEN,11,7,25
2001-2002,Muratcan Guler,FEN,5,7,13
2001-2002,Ike Austin,FEN,3,7,7
2001-2002,Marcus Goree,FRA,52,3,101
2001-2002,Chad Austin,FRA,25,8,96
2001-2002,Pascal Roller,FRA,16,21,79
2001-2002,Alex Lokhmanchuk,FRA,21,2,60
2001-2002,Virgil Stanescu,FRA,28,1,51
2001-2002,Robert Maras,FRA,31,0,31
2001-2002,Kai-Joachim Nurnberger,FRA,2,8,8
2001-2002,Ibrahim Diarra,FRA,13,8,6
2001-2002,Robert Wintermantel,FRA,2,0,4
2001-2002,Dominik Hennen,FRA,1,0,1
2001-2002,Niklas Lutcke,FRA,4,0,1
2001-2002,Ingmar Janke,FRA,0,0,0
2001-2002,Jaka Lakovic,KRK,10,27,160
2001-2002,Mate Skelin,KRK,55,11,87
2001-2002,Bennett Davison,KRK,45,6,70
2001-2002,Marko Samanic,KRK,19,6,56
2001-2002,Samo Grum,KRK,9,7,49
2001-2002,Boris Gnjidic,KRK,28,3,47
2001-2002,Aleksandar Capin,KRK,5,6,21
2001-2002,Dragisa Drobnjak,KRK,14,3,16
2001-2002,James Lorenzo Brewer,KRK,3,2,14
2001-2002,Vladimir Anzulovic,KRK,2,3,13
2001-2002,Nemanja Jelesijevic,KRK,2,0,7
2001-2002,Milos Mirkovic,KRK,5,0,4
2001-2002,Igor Ivaskovic,KRK,0,0,2
2001-2002,Terrell Myers,LT,9,4,62
2001-2002,Brett Eppeheimer,LT,7,3,59
2001-2002,John White,LT,15,3,53
2001-2002,Philip Hickey,LT,38,5,43
2001-2002,Stuart Robbins,LT,16,1,29
2001-2002,Silas Cheung,LT,22,7,28
2001-2002,Jeff Kent,LT,20,7,27
2001-2002,Ronnie Baker,LT,3,4,21
2001-2002,Theodore Allen,LT,10,1,17
2001-2002,Robert Youngblood,LT,8,4,9
2001-2002,Wayne Henry,LT,4,0,9
2001-2002,Davor Tomic,LT,11,2,5
2001-2002,Stephen Barnes,LT,3,0,4
2001-2002,Kyle Hill,LYV,14,12,91
2001-2002,Yann Bonato,LYV,24,13,62
2001-2002,Nikola Vujcic,LYV,21,6,52
2001-2002,David Frigout,LYV,18,4,51
2001-2002,John Celestand,LYV,7,25,49
2001-2002,Amara Sy,LYV,17,6,39
2001-2002,Nikola Radulovic,LYV,15,9,38
2001-2002,Harold Mrazek,LYV,8,8,37
2001-2002,Tim Nees,LYV,24,4,26
2001-2002,Simon Petrov,LYV,3,2,21
2001-2002,Thalamus McGhee,LYV,14,1,7
2001-2002,Arsene Ade-Mensah,LYV,0,7,4
2001-2002,Gordan Firic,LYV,1,2,0
2001-2002,Peter Hoffman,LYV,0,1,0
2001-2002,George Komanidic-Antoniadis,LYV,0,0,0
2001-2002,Anthony Parker,MAC,55,21,179
2001-2002,Arriel McDonald,MAC,24,44,166
2001-2002,Nate Huffman,MAC,71,8,146
2001-2002,Derrick Sharp,MAC,15,9,93
2001-2002,Huseyin Besok,MAC,48,5,87
2001-2002,Tal Burstein,MAC,24,21,76
2001-2002,Gur Shelef,MAC,27,8,67
2001-2002,Nadav Henefeld,MAC,46,29,56
2001-2002,Yoav Saffar,MAC,15,6,30
2001-2002,Radisav Curcic,MAC,14,0,22
2001-2002,Mark Brisker,MAC,2,1,11
2001-2002,Nikola Vujcic,MAC,1,0,4
2001-2002,Yotam Halperin,MAC,0,0,0
2001-2002,Jiri Welsch,OLI,43,30,206
2001-2002,Beno Udrih,OLI,30,28,152
2001-2002,Haris Mujezinovic,OLI,69,14,129
2001-2002,Jurica Golemac,OLI,41,15,105
2001-2002,Tunji Awojobi,OLI,56,14,98
2001-2002,Jasmin Hukic,OLI,20,7,60
2001-2002,Jurij Zdovc,OLI,16,22,52
2001-2002,Vlado Ilijevski,OLI,14,20,47
2001-2002,Alek Radojevic,OLI,15,3,21
2001-2002,Stipe Modric,OLI,24,6,21
2001-2002,Sandro Nicevic,OLI,4,0,16
2001-2002,Vladimir Boisa,OLI,3,0,13
2001-2002,Nedim Dal,OLI,3,0,4
2001-2002,Vujadin Subotic,OLI,1,1,4
2001-2002,Allen Griffin,OLI,0,0,1
2001-2002,Alphonso Ford,OLY,63,36,297
2001-2002,James Forrest,OLY,81,7,151
2001-2002,Stephane Risacher,OLY,41,8,114
2001-2002,Theo Papaloukas,OLY,38,50,91
2001-2002,Milan Tomic,OLY,15,22,78
2001-2002,Inaki De Miguel,OLY,50,4,73
2001-2002,Alexei Savrasenko,OLY,77,4,64
2001-2002,Patrick Femerling,OLY,43,4,61
2001-2002,Dimitris Papanikolaou,OLY,17,2,31
2001-2002,Misan Nikagbatse,OLY,3,2,14
2001-2002,Nikolaos Bountouris,OLY,9,11,14
